"","geo","year","values"
"803","gb",2002,74.6
"804","us",2002,75.79
"805","at",2001,76.96
"806","be",2001,77.34
"807","bg",2001,57.48
"808","cy",2001,77.23
"809","cz",2001,77.6
"810","de",2001,80.8
"811","dk",2001,79.6
"812",NA,2001,77.99
"813","ee",2001,61.7
"814","gr",2001,74.24
"815","es",2001,73.63
"816","fi",2001,79.38
"817","fr",2001,80.05
"818","hr",2001,72.73
"819","hu",2001,57.04
"820","ie",2001,80.7
"821","is",2001,51.09
"822","it",2001,76.3
"823","lt",2001,70.22
"824","lu",2001,72.88
"825","lv",2001,57.11
"826","mt",2001,75.21
"827","nl",2001,78.34
"828","no",2001,80
"829","pl",2001,74.4
"830","pt",2001,76.74
"831","ro",2001,37.18
"832","se",2001,82.28
"833","si",2001,67.64
"834","sk",2001,66.13
"835","tr",2001,20.37
"836","gb",2001,74.1
"837","at",2000,75
"838","be",2000,75.12
"839","bg",2000,52.56
"840","cy",2000,74.91
"841","cz",2000,73.7
"842","de",2000,78.9
"843","dk",2000,77.8
"844",NA,2000,75.76
"845","ee",2000,57.84
"846","gr",2000,71.06
"847","es",2000,70.97
"848","fi",2000,77.09
"849","fr",2000,78.29
"850","hr",2000,69.37
"851","hu",2000,51.63
"852","ie",2000,77.4
"853","is",2000,47.68
"854","it",2000,74.2
"855","lt",2000,68.87
"856","lu",2000,70.96
"857","lv",2000,55.35
"858","mt",2000,73.26
"859","nl",2000,74.55
"860","no",2000,77.4
"861","pl",2000,70.1
"862","pt",2000,73.39
"863","ro",2000,27.4
"864","se",2000,79.93
"865","si",2000,61.62
"866","sk",2000,61.49
"867","tr",2000,12.84
"868","gb",2000,72.9
"869","at",1999,73.27
"870","be",1999,72.94
"871","bg",1999,47.09
"872","cy",1999,71.18
"873","cz",1999,70.8
"874","de",1999,77.8
"875","dk",1999,75.6
"876","ee",1999,56.08
"877","gr",1999,69.53
"878","es",1999,68.56
"879","fi",1999,74.79
"880","fr",1999,76.91
"881","hr",1999,66.37
"882","hu",1999,47.22
"883","ie",1999,73.4
"884","is",1999,45.52
"885","it",1999,72.2
"886","lt",1999,67.98
"887","lu",1999,67.94
"888","lv",1999,54.06
"889","mt",1999,70.9
"890","nl",1999,72.76
"891","no",1999,74.8
"892","pl",1999,63.4
"893","pt",1999,71.38
"894","ro",1999,19.45
"895","se",1999,78.88
"896","si",1999,56.12
"897","sk",1999,53.16
"898","tr",1999,8.15
"899","gb",1999,72.3
"900","at",1998,73.13
"901","be",1998,72.44
"902","bg",1998,46.53
"903","cy",1998,70.92
"904","cz",1998,69.6
"905","de",1998,77.5
"906","dk",1998,74.2
"907","ee",1998,54.5
